"(-0.16, 0.35, -0.37, 0.27, 0.39)","(array([3.2244, 1.6452, 0.25  ]), array([0.    , 0.    , 0.2377, 0.9713]))"
"(-0.44, 0.35, -0.37, 0.27, 0.39)","(array([3.27  , 1.5206, 0.25  ]), array([0.    , 0.    , 0.0998, 0.995 ]))"
"(-0.44, 0.35, -0.37, 0.27, 0.08)","(array([3.5965, 0.5685, 0.25  ]), array([ 0.    ,  0.    , -0.055 ,  0.9985]))"
"(-0.44, 0.35, -0.37, 0.4, 0.08)","(array([3.5643, 0.7159, 0.25  ]), array([0.  , 0.  , 0.01, 1.  ]))"
"(-0.44, 0.35, 0.06, 0.4, 0.08)","(array([3.2466, 1.4436, 0.25  ]), array([0.    , 0.    , 0.2232, 0.9748]))"
"(-0.44, 0.35, 0.06, 0.4, -0.3899)","(array([ 3.5903, -0.0081,  0.25  ]), array([ 0.  ,  0.  , -0.01,  1.  ]))"
"(-0.44, -0.07, 0.06, 0.3999, -0.39)","(array([ 3.4756, -1.0698,  0.25  ]), array([ 0.    ,  0.    , -0.2183,  0.9759]))"
"(-0.44, 0.21, 0.06, 0.4, -0.39)","(array([ 3.602 , -0.3661,  0.25  ]), array([ 0.    ,  0.    , -0.0799,  0.9968]))"
"(-0.44, 0.21, 0.06, -0.05, -0.39)","(array([ 3.5374, -0.8798,  0.25  ]), array([ 0.    ,  0.    , -0.3002,  0.9539]))"
"(-0.44, 0.21, -0.38, -0.05, -0.39)","(array([ 3.1605, -1.5989,  0.25  ]), array([ 0.    ,  0.    , -0.5013,  0.8653]))"
"(-0.44, 0.21, -0.38, 0.32, -0.39)","(array([ 3.4036, -1.2473,  0.25  ]), array([ 0.    ,  0.    , -0.3335,  0.9428]))"
"(-0.44, 0.21, -0.38, -0.07, -0.39)","(array([ 3.144 , -1.6149,  0.25  ]), array([ 0.    ,  0.    , -0.5099,  0.8603]))"
"(-0.44, 0.21, -0.38, 0.22, -0.39)","(array([ 3.3511, -1.3508,  0.25  ]), array([ 0.    ,  0.    , -0.3801,  0.9249]))"
"(-0.44, 0.21, 0.11, 0.22, -0.39)","(array([ 3.6106, -0.4816,  0.25  ]), array([ 0.    ,  0.    , -0.1445,  0.9895]))"
"(-0.44, 0.21, 0.11, -0.24, -0.39)","(array([ 3.4746, -0.9927,  0.25  ]), array([ 0.    ,  0.    , -0.3662,  0.9305]))"
"(-0.44, 0.1, 0.11, -0.24, -0.39)","(array([ 3.3805, -1.2553,  0.25  ]), array([ 0.    ,  0.    , -0.4168,  0.909 ]))"
